,Plain top-3 (no overlay),Top-3 + abs-mom overlay,Top-3 + overlay + band(4),Top-2 + overlay,Top-4 + overlay,Top-3 + overlay + band(5),SPY buy & hold,Equal-weight sectors
2017-08-28,1.8638547217364483,1.8243135339735292,1.815573898514252,1.7182846725278473,1.8839148363470308,1.8725711562577336,2.22136713968354,2.134977699841854
2017-08-29,1.8690800539287098,1.829428012117496,1.8206638750176234,1.7193060764675225,1.8856193709458104,1.877820925046568,2.2239100627725943,2.135832371895637
2017-08-30,1.8787280470805114,1.8388713256318228,1.830061948985071,1.7290732598750571,1.89639235095896,1.8875140376487158,2.234445963841134,2.1437518083667566
2017-08-31,1.8853930495847602,1.8453949318607141,1.836554302943309,1.735361162852759,1.904604572693186,1.8942102094588311,2.2478878804846985,2.1545147272839604
2017-09-01,1.8871908577035188,1.847154599953023,1.8383055410934124,1.737082655861865,1.9081440702242067,1.8960164251409939,2.25106737151578,2.159810347221291
2017-09-05,1.8618165099211808,1.8223185622859113,1.8135884840244387,1.7107950307039512,1.8869544552659958,1.8705234126159667,2.234900108505185,2.1486946946186465
2017-09-06,1.8645201220914407,1.8249648180349782,1.8162220625060579,1.7136403385346686,1.891976806375143,1.8732396683995824,2.242529196694163,2.156360282087358
2017-09-07,1.857255184563997,1.8178540042466373,1.809145314090347,1.70183592847455,1.8823303320859235,1.865940755932182,2.242256837464458,2.1587016639869887
2017-09-08,1.859836628268776,1.8203806833020906,1.8116598887276418,1.7024847930261195,1.882639792860053,1.868534271921759,2.239622862197323,2.157404561180822
2017-09-11,1.8846987510802375,1.8447153627163775,1.8358779893723596,1.7293327628533193,1.9039724651547654,1.893512664023428,2.2635102655749764,2.1784093886807216
2017-09-12,1.8966028303872107,1.856366900111402,1.8474737084075044,1.7415854788541467,1.9151157069941152,1.905472413510381,2.271140310529398,2.1816072950055796
2017-09-13,1.895848275262123,1.8556283526748594,1.8467386990883108,1.741810803818283,1.917995951353566,1.9047143296605147,2.27223022583094,2.1829599228628433
2017-09-14,1.8954685176860626,1.855256651555906,1.8463687786568428,1.7371040109286457,1.9151059871390776,1.9043327961241248,2.271503084093554,2.186657040242627
2017-09-15,1.9025336407872464,1.8621718899284925,1.85325088858886,1.7432169436573541,1.9191157478601197,1.9114309597204597,2.274561384835071,2.189760778807118
2017-09-18,1.9140756811720265,1.873469068961849,1.8644939468668575,1.754186861490868,1.9262083821868992,1.9230269771872959,2.279399109841388,2.191959953078291
2017-09-19,1.9223630578563748,1.8815806311292629,1.8725666494330964,1.764737604278239,1.932060946814238,1.931353110313002,2.2816809954251576,2.1916721808879323
