,XLB
2008-02-05,13.13815975189209
2008-02-06,13.0474853515625
2008-02-07,13.097860336303711
2008-02-08,13.376614570617676
2008-02-11,13.423629760742188
2008-02-12,13.665431022644043
2008-02-13,13.608346939086914
2008-02-14,13.433706283569336
2008-02-15,13.51766300201416
2008-02-19,13.853506088256836
2008-02-20,13.934101104736328
2008-02-21,13.746034622192383
2008-02-22,13.877017974853516
2008-02-25,14.196065902709961
2008-02-26,14.263236045837402
2008-02-27,14.259876251220703
2008-02-28,14.182635307312012
2008-02-29,13.725896835327148
2008-03-03,13.954259872436523
2008-03-04,13.618417739868164
2008-03-05,14.001275062561035
2008-03-06,13.877017974853516
2008-03-07,13.29601001739502
2008-03-10,13.010541915893555
2008-03-11,13.803128242492676
2008-03-12,13.604989051818848
2008-03-13,13.937466621398926
2008-03-14,13.692302703857422
2008-03-17,13.416913986206055
2008-03-18,13.88708782196045
2008-03-19,12.946733474731445
2008-03-20,12.902942657470703
2008-03-24,13.361112594604492
2008-03-25,13.762014389038086
2008-03-26,13.70136547088623
2008-03-27,13.664314270019531
2008-03-28,13.549771308898926
2008-03-31,13.532922744750977
2008-04-01,13.964146614074707
2008-04-02,14.058476448059082
2008-04-03,14.314515113830566
2008-04-04,14.456009864807129
2008-04-07,14.378520011901855
2008-04-08,14.51328182220459
2008-04-09,14.358304977416992
2008-04-10,14.395369529724121
2008-04-11,14.210078239440918
2008-04-14,14.139326095581055
2008-04-15,14.21680736541748
2008-04-16,14.897330284118652
2008-04-17,14.823222160339355
2008-04-18,14.904067993164062
2008-04-21,14.941126823425293
2008-04-22,14.823222160339355
2008-04-23,14.590761184692383
2008-04-24,14.378520011901855
2008-04-25,14.789530754089355
2008-04-28,14.705309867858887
2008-04-29,14.220185279846191
2008-04-30,14.253870010375977
2008-05-01,14.152804374694824
2008-05-02,14.297663688659668
2008-05-05,14.62108325958252
2008-05-06,14.738991737365723
2008-05-07,14.573918342590332
2008-05-08,14.823222160339355
2008-05-09,14.637928009033203
2008-05-12,14.937758445739746
2008-05-13,15.02197551727295
2008-05-14,15.106202125549316
2008-05-15,15.278020858764648
2008-05-16,15.466680526733398
2008-05-19,15.426248550415039
2008-05-20,15.507107734680176
2008-05-21,15.05229663848877
2008-05-22,14.9849271774292
2008-05-23,14.779428482055664
2008-05-27,14.712042808532715
2008-05-28,15.07924747467041
2008-05-29,14.978189468383789
2008-05-30,14.995031356811523
2008-06-02,14.880483627319336
2008-06-03,14.897330284118652
2008-06-04,14.833321571350098
2008-06-05,15.331923484802246
