,XLRE
2023-03-23,30.953357696533203
2023-03-24,31.749099731445312
2023-03-27,31.641803741455078
2023-03-28,31.534515380859375
2023-03-29,32.28555679321289
2023-03-30,32.70577621459961
2023-03-31,33.421043395996094
2023-04-03,33.10810852050781
2023-04-04,33.1170539855957
2023-04-05,32.947174072265625
2023-04-06,33.17069625854492
2023-04-10,33.340572357177734
2023-04-11,33.50151443481445
2023-04-12,33.403160095214844
2023-04-13,33.29587173461914
2023-04-14,32.72364807128906
2023-04-17,33.46574783325195
2023-04-18,33.412105560302734
2023-04-19,33.608802795410156
2023-04-20,33.206459045410156
2023-04-21,33.242225646972656
2023-04-24,33.1528205871582
2023-04-25,32.84883117675781
2023-04-26,32.580596923828125
2023-04-27,33.367401123046875
2023-04-28,33.75185775756836
2023-05-01,33.438926696777344
2023-05-02,32.86671447753906
2023-05-03,32.66106414794922
2023-05-04,32.965057373046875
2023-05-05,33.47468948364258
2023-05-08,33.242225646972656
2023-05-09,33.13493728637695
2023-05-10,33.44786071777344
2023-05-11,33.09917449951172
2023-05-12,33.1617546081543
2023-05-15,33.09917449951172
2023-05-16,32.21401596069336
2023-05-17,32.63424301147461
2023-05-18,32.42860412597656
2023-05-19,32.37495803833008
2023-05-22,32.589542388916016
2023-05-23,32.18720626831055
2023-05-24,31.480871200561523
2023-05-25,31.552398681640625
2023-05-26,31.918968200683594
2023-05-30,32.01732635498047
2023-05-31,32.22296142578125
2023-06-01,32.23191452026367
2023-06-02,32.911415100097656
2023-06-05,32.75941467285156
2023-06-06,32.956119537353516
2023-06-07,33.5640983581543
2023-06-08,33.35845947265625
2023-06-09,33.18858337402344
2023-06-12,33.17069625854492
2023-06-13,33.412105560302734
2023-06-14,33.59092330932617
2023-06-15,33.733978271484375
2023-06-16,33.698204040527344
2023-06-20,33.33623504638672
2023-06-21,33.191810607910156
2023-06-22,32.72240447998047
2023-06-23,32.370357513427734
2023-06-26,33.09251022338867
2023-06-27,33.453582763671875
2023-06-28,33.54384994506836
2023-06-29,33.850765228271484
2023-06-30,34.022274017333984
2023-07-03,34.2930793762207
2023-07-05,34.464595794677734
2023-07-06,34.275028228759766
2023-07-07,34.112545013427734
2023-07-10,34.229888916015625
2023-07-11,34.618045806884766
2023-07-12,34.78052520751953
2023-07-13,35.01523208618164
2023-07-14,35.01523208618164
2023-07-17,34.71734619140625
2023-07-18,34.42848205566406
2023-07-19,34.807613372802734
2023-07-20,34.69026184082031
2023-07-21,34.843719482421875
2023-07-24,35.177711486816406
2023-07-25,34.915931701660156
2023-07-26,35.04231262207031
2023-07-27,34.30210876464844
2023-07-28,34.20280838012695
2023-07-31,34.47361755371094
2023-08-01,34.410430908203125
2023-08-02,34.26599884033203
2023-08-03,33.79660415649414
2023-08-04,33.46261215209961
2023-08-07,33.88686752319336
2023-08-08,33.715362548828125
2023-08-09,33.79660415649414
2023-08-10,33.68828201293945
2023-08-11,33.75147247314453
2023-08-14,33.570926666259766
2023-08-15,33.2279167175293
2023-08-16,32.82169723510742
2023-08-17,32.57797622680664
2023-08-18,32.668251037597656
2023-08-21,32.3884162902832
2023-08-22,32.487709045410156
2023-08-23,32.966129302978516
2023-08-24,32.81267547607422
2023-08-25,32.9029426574707
