,XLF
2021-11-17,36.51539611816406
2021-11-18,36.331214904785156
2021-11-19,35.935203552246094
2021-11-22,36.44172286987305
2021-11-23,37.01271057128906
2021-11-24,36.92981719970703
2021-11-26,35.70497131347656
2021-11-29,35.81547927856445
2021-11-30,34.95900344848633
2021-12-01,34.57220458984375
2021-12-02,35.60366439819336
2021-12-03,35.02347183227539
2021-12-06,35.5576171875
2021-12-07,36.19306564331055
2021-12-08,35.99966812133789
2021-12-09,35.92599105834961
2021-12-10,35.962833404541016
2021-12-13,35.57603454589844
2021-12-14,35.787864685058594
2021-12-15,35.889156341552734
2021-12-16,36.34042739868164
2021-12-17,35.53919982910156
2021-12-20,34.848880767822266
2021-12-21,35.570655822753906
2021-12-22,35.73722839355469
2021-12-23,35.92229080200195
2021-12-27,36.292442321777344
2021-12-28,36.31094741821289
2021-12-29,36.264671325683594
2021-12-30,36.19990539550781
2021-12-31,36.13512420654297
2022-01-03,36.57929992675781
2022-01-04,37.54166793823242
2022-01-05,37.10675048828125
2022-01-06,37.652713775634766
2022-01-07,38.09688186645508
2022-01-10,37.96733093261719
2022-01-11,38.30046081542969
2022-01-12,38.328216552734375
2022-01-13,38.18016052246094
2022-01-14,37.78226089477539
2022-01-18,36.940181732177734
2022-01-19,36.32019805908203
2022-01-20,36.08885955810547
2022-01-21,35.34857177734375
2022-01-24,35.45036697387695
2022-01-25,35.59841537475586
2022-01-26,35.69095230102539
2022-01-27,35.367088317871094
2022-01-28,35.82976150512695
2022-01-31,36.144378662109375
2022-02-01,36.64406204223633
2022-02-02,36.8939208984375
2022-02-03,36.48676300048828
2022-02-04,37.10675048828125
2022-02-07,37.21778869628906
2022-02-08,37.735992431640625
2022-02-09,37.976585388183594
2022-02-10,37.64345169067383
2022-02-11,37.11601257324219
2022-02-14,36.69960021972656
2022-02-15,37.199275970458984
2022-02-16,37.22704315185547
2022-02-17,36.30169677734375
2022-02-18,36.292442321777344
2022-02-22,36.10736083984375
2022-02-23,35.47812271118164
2022-02-24,35.052467346191406
2022-02-25,36.181400299072266
2022-02-28,35.644691467285156
2022-03-01,34.33068084716797
2022-03-02,35.21903991699219
2022-03-03,35.10797882080078
2022-03-04,34.45097732543945
2022-03-07,33.192501068115234
2022-03-08,32.99817657470703
2022-03-09,34.210391998291016
2022-03-10,33.92353439331055
2022-03-11,33.68294143676758
2022-03-14,34.10860061645508
2022-03-15,34.58978271484375
2022-03-16,35.561405181884766
2022-03-17,36.00556945800781
2022-03-18,36.08885955810547
2022-03-21,36.05355453491211
2022-03-22,36.63881301879883
2022-03-23,35.960662841796875
2022-03-24,36.248634338378906
2022-03-25,36.713130950927734
2022-03-28,36.6109504699707
2022-03-29,36.69455337524414
2022-03-30,36.434444427490234
2022-03-31,35.59836196899414
2022-04-01,35.50546646118164
2022-04-04,35.347537994384766
2022-04-05,35.12458801269531
2022-04-06,34.88304901123047
2022-04-07,34.84588623046875
2022-04-08,35.19889831542969
2022-04-11,35.04097366333008
2022-04-12,34.66009521484375
2022-04-13,34.66009521484375
2022-04-14,34.269920349121094
2022-04-18,34.474308013916016
2022-04-19,34.94807052612305
2022-04-20,35.18961715698242
2022-04-21,34.63222885131836
2022-04-22,33.6010627746582
2022-04-25,33.656795501708984
2022-04-26,32.811431884765625
2022-04-27,32.78356170654297
2022-04-28,33.201595306396484
2022-04-29,32.05896759033203
2022-05-02,32.0682487487793
2022-05-03,32.48628616333008
2022-05-04,33.48030090332031
2022-05-05,32.5048713684082
2022-05-06,32.27262878417969
2022-05-09,31.501577377319336
2022-05-10,31.222875595092773
2022-05-11,30.934900283813477
2022-05-12,30.70266342163086
2022-05-13,31.148569107055664
2022-05-16,30.888458251953125
2022-05-17,31.715242385864258
2022-05-18,30.841999053955078
2022-05-19,30.63762855529785
2022-05-20,30.581890106201172
2022-05-23,31.575889587402344
2022-05-24,31.510868072509766
2022-05-25,31.76169204711914
2022-05-26,32.495582580566406
2022-05-27,33.04367446899414
2022-05-31,32.950782775878906
2022-06-01,32.421268463134766
2022-06-02,32.86717224121094
2022-06-03,32.393394470214844
2022-06-06,32.48628616333008
2022-06-07,32.737125396728516
2022-06-08,32.1611442565918
2022-06-09,31.352933883666992
2022-06-10,30.219585418701172
2022-06-13,29.318483352661133
2022-06-14,29.067663192749023
2022-06-15,29.392799377441406
