,XLV
2001-12-31,18.156469345092773
2002-01-02,18.31142234802246
2002-01-03,18.392257690429688
2002-01-04,18.60784912109375
2002-01-07,18.62805938720703
2002-01-08,18.729124069213867
2002-01-09,18.62805938720703
2002-01-10,18.681961059570312
2002-01-11,18.56069564819336
2002-01-14,18.425952911376953
2002-01-15,18.655014038085938
2002-01-16,18.19688606262207
2002-01-17,18.31142234802246
2002-01-18,18.169940948486328
2002-01-22,18.12278175354004
2002-01-23,18.05541229248047
2002-01-24,18.20362091064453
2002-01-25,18.223840713500977
2002-01-28,18.25751495361328
2002-01-29,17.913938522338867
2002-01-30,17.83983039855957
2002-01-31,18.02172088623047
2002-02-01,17.9880428314209
2002-02-04,17.644454956054688
2002-02-05,17.7387752532959
2002-02-06,17.644454956054688
2002-02-07,17.9880428314209
2002-02-08,18.358579635620117
2002-02-11,18.52701187133789
2002-02-12,18.358579635620117
2002-02-13,18.661746978759766
2002-02-14,18.71565055847168
2002-02-15,18.425952911376953
2002-02-19,18.12278175354004
2002-02-20,18.56069564819336
2002-02-21,18.425952911376953
2002-02-22,18.594379425048828
2002-02-25,18.917760848999023
2002-02-26,18.863862991333008
2002-02-27,18.796491622924805
2002-02-28,18.850393295288086
2002-03-01,19.207454681396484
2002-03-04,19.40283203125
2002-03-05,19.375871658325195
2002-03-06,19.645366668701172
2002-03-07,19.497142791748047
2002-03-08,19.699264526367188
2002-03-11,19.604948043823242
2002-03-12,19.537565231323242
2002-03-13,19.470197677612305
2002-03-14,19.604948043823242
2002-03-15,19.96418571472168
2002-03-18,20.13943862915039
2002-03-19,20.11920928955078
2002-03-20,20.125947952270508
2002-03-21,19.997894287109375
2002-03-22,19.890052795410156
2002-03-25,19.593481063842773
2002-03-26,19.478897094726562
2002-03-27,19.768720626831055
2002-03-28,19.943967819213867
2002-04-01,19.761985778808594
2002-04-02,19.64740562438965
2002-04-03,19.391281127929688
2002-04-04,19.66762351989746
2002-04-05,19.903520584106445
2002-04-08,19.984407424926758
2002-04-09,20.011375427246094
2002-04-10,20.193357467651367
2002-04-11,19.85634422302246
2002-04-12,19.923738479614258
2002-04-15,19.91027069091797
2002-04-16,20.045068740844727
2002-04-17,20.09225082397461
2002-04-18,20.301193237304688
2002-04-19,20.46295928955078
2002-04-22,20.36859130859375
2002-04-23,20.220312118530273
2002-04-24,20.355106353759766
2002-04-25,20.41577911376953
2002-04-26,20.08550453186035
2002-04-29,19.627178192138672
2002-04-30,19.822649002075195
2002-05-01,20.17987060546875
2002-05-02,20.112470626831055
2002-05-03,19.984407424926758
2002-05-06,19.60696029663086
2002-05-07,19.64740562438965
2002-05-08,20.08550453186035
2002-05-09,19.85634422302246
2002-05-10,19.593481063842773
2002-05-13,19.822649002075195
2002-05-14,20.17987060546875
2002-05-15,20.355106353759766
2002-05-16,20.409034729003906
2002-05-17,20.402286529541016
2002-05-20,20.220312118530273
2002-05-21,20.045068740844727
2002-05-22,19.923738479614258
2002-05-23,20.105724334716797
2002-05-24,20.024850845336914
2002-05-28,20.004619598388672
2002-05-29,19.991153717041016
2002-05-30,19.950706481933594
2002-05-31,20.0989933013916
2002-06-03,19.755250930786133
2002-06-04,19.70806884765625
2002-06-05,19.87657928466797
2002-06-06,19.60696029663086
2002-06-07,19.748502731323242
2002-06-10,19.78894805908203
2002-06-11,19.64065933227539
2002-06-12,19.236270904541016
2002-06-13,18.885770797729492
2002-06-14,18.744226455688477
2002-06-17,19.269956588745117
2002-06-18,19.357574462890625
2002-06-19,19.290176391601562
2002-06-20,18.777935028076172
2002-06-21,18.3848819732666
2002-06-24,18.526460647583008
2002-06-25,18.236562728881836
2002-06-26,18.539939880371094
2002-06-27,19.011873245239258
2002-06-28,18.66129493713379
2002-07-01,17.879249572753906
2002-07-02,17.474746704101562
2002-07-03,17.5017032623291
2002-07-05,18.08824348449707
2002-07-08,17.865766525268555
2002-07-09,17.050003051757812
2002-07-10,16.26121711730957
2002-07-11,16.57134246826172
2002-07-12,16.787076950073242
2002-07-15,16.48370361328125
2002-07-16,16.369081497192383
2002-07-17,16.726398468017578
2002-07-18,15.937614440917969
2002-07-19,15.28365707397461
2002-07-22,15.15555477142334
2002-07-23,14.872406959533691
2002-07-24,15.836484909057617
2002-07-25,16.375823974609375
2002-07-26,16.73988914489746
2002-07-29,17.488218307495117
2002-07-30,17.616315841674805
2002-07-31,18.121946334838867
2002-08-01,17.616315841674805
2002-08-02,17.474746704101562
2002-08-05,16.726398468017578
2002-08-06,17.137645721435547
2002-08-07,17.710702896118164
2002-08-08,18.371395111083984
2002-08-09,18.34442901611328
2002-08-12,18.371395111083984
2002-08-13,17.93317413330078
2002-08-14,18.3848819732666
2002-08-15,18.512977600097656
2002-08-16,18.364654541015625
2002-08-19,18.620845794677734
2002-08-20,18.3848819732666
2002-08-21,18.695005416870117
2002-08-22,19.281543731689453
2002-08-23,18.782651901245117
2002-08-26,18.99164390563965
2002-08-27,18.452293395996094
2002-08-28,18.303979873657227
2002-08-29,18.351173400878906
2002-08-30,18.29723358154297
2002-09-03,17.53541374206543
2002-09-04,18.07475471496582
2002-09-05,17.865766525268555
2002-09-06,17.865766525268555
2002-09-09,18.068029403686523
2002-09-10,18.135438919067383
2002-09-11,18.169145584106445
2002-09-12,17.825315475463867
2002-09-13,17.96015167236328
2002-09-16,17.96015167236328
2002-09-17,17.690473556518555
2002-09-18,17.791608810424805
2002-09-19,17.191579818725586
2002-09-20,17.32616424560547
2002-09-23,17.12328338623047
2002-09-24,17.109758377075195
2002-09-25,17.59667205810547
2002-09-26,17.90777587890625
2002-09-27,17.24500846862793
2002-09-30,17.163846969604492
2002-10-01,17.6981143951416
2002-10-02,17.711645126342773
2002-10-03,17.644004821777344
2002-10-04,17.089475631713867
2002-10-07,17.04888916015625
2002-10-08,17.54933738708496
2002-10-09,17.366741180419922
2002-10-10,17.583145141601562
2002-10-11,17.792797088623047
2002-10-14,18.25942611694336
2002-10-15,18.584035873413086
2002-10-16,18.638145446777344
2002-10-17,18.86806869506836
2002-10-18,18.87483024597168
