,XLK
2023-06-23,82.67041778564453
2023-06-26,82.0772933959961
2023-06-27,83.69489288330078
2023-06-28,83.7439193725586
2023-06-29,83.89098358154297
2023-06-30,85.22430419921875
2023-07-03,85.04293060302734
2023-07-05,84.51842498779297
2023-07-06,84.29293823242188
2023-07-07,83.92530822753906
2023-07-10,84.14588928222656
2023-07-11,84.3272476196289
2023-07-12,85.28311920166016
2023-07-13,86.39586639404297
2023-07-14,86.26840209960938
2023-07-17,87.37133026123047
2023-07-18,88.36150360107422
2023-07-19,88.14091491699219
2023-07-20,86.38114166259766
2023-07-21,86.33702087402344
2023-07-24,86.48898315429688
2023-07-25,87.47917175292969
2023-07-26,86.30270385742188
2023-07-27,86.05271911621094
2023-07-28,87.22427368164062
2023-07-31,87.42525482177734
2023-08-01,87.57230377197266
2023-08-02,85.40567779541016
2023-08-03,85.05763244628906
2023-08-04,83.90080261230469
2023-08-07,84.1360855102539
2023-08-08,83.4890365600586
2023-08-09,82.41060638427734
2023-08-10,82.42042541503906
2023-08-11,81.81257629394531
2023-08-14,83.11649322509766
2023-08-15,82.29786682128906
2023-08-16,81.5135726928711
2023-08-17,80.73908233642578
2023-08-18,80.86163330078125
2023-08-21,82.40573120117188
2023-08-22,82.31256103515625
2023-08-23,83.79786682128906
2023-08-24,81.86650085449219
2023-08-25,82.69981384277344
2023-08-28,83.37628936767578
2023-08-29,85.04782104492188
2023-08-30,85.68997955322266
2023-08-31,86.10663604736328
2023-09-01,86.37133026123047
2023-09-05,86.68016052246094
2023-09-06,85.76351928710938
2023-09-07,84.52333068847656
2023-09-08,84.69979858398438
2023-09-11,85.14097595214844
2023-09-12,83.59688568115234
2023-09-13,83.80766296386719
2023-09-14,84.41549682617188
2023-09-15,82.79296112060547
2023-09-18,83.19087219238281
2023-09-19,83.14664459228516
2023-09-20,81.8399658203125
2023-09-21,80.59223175048828
2023-09-22,80.76416778564453
2023-09-25,81.0245132446289
2023-09-26,79.56554412841797
2023-09-27,79.68834686279297
2023-09-28,80.25325775146484
2023-09-29,80.52835083007812
2023-10-02,81.3929443359375
2023-10-03,80.0125732421875
2023-10-04,81.00978088378906
2023-10-05,81.11784362792969
2023-10-06,82.63577270507812
2023-10-09,83.06314086914062
2023-10-10,83.19087219238281
2023-10-11,83.96211242675781
2023-10-12,84.04072570800781
2023-10-13,82.83719635009766
2023-10-16,83.63298034667969
2023-10-17,83.24491119384766
2023-10-18,82.3901596069336
2023-10-19,81.91856384277344
2023-10-20,80.53327178955078
2023-10-23,80.62661743164062
2023-10-24,81.18170928955078
2023-10-25,80.22380065917969
2023-10-26,78.6911392211914
2023-10-27,79.14798736572266
2023-10-30,79.9978256225586
2023-10-31,80.56765747070312
2023-11-01,82.1249008178711
2023-11-02,83.51509094238281
2023-11-03,84.37474822998047
2023-11-06,84.92984771728516
2023-11-07,85.85826873779297
2023-11-08,86.34461212158203
2023-11-09,85.9417953491211
2023-11-10,88.1867446899414
2023-11-13,87.67093658447266
2023-11-14,89.42464447021484
2023-11-15,89.53762817382812
2023-11-16,89.98466491699219
2023-11-17,89.79798889160156
2023-11-20,91.09976959228516
2023-11-21,90.3629150390625
2023-11-22,90.76573944091797
2023-11-24,90.58889770507812
2023-11-27,90.58397674560547
2023-11-28,90.75591278076172
2023-11-29,90.82467651367188
2023-11-30,90.95732879638672
2023-12-01,91.16364288330078
2023-12-04,90.05345153808594
2023-12-05,90.59379577636719
2023-12-06,89.82746887207031
2023-12-07,90.91801452636719
2023-12-08,91.69416809082031
2023-12-11,92.49488067626953
2023-12-12,93.10892486572266
2023-12-13,93.92929077148438
2023-12-14,93.69841766357422
2023-12-15,94.16999816894531
2023-12-18,94.45160675048828
2023-12-19,94.81100463867188
2023-12-20,93.37836456298828
2023-12-21,94.42699432373047
2023-12-22,94.55006408691406
2023-12-26,94.94393157958984
2023-12-27,94.93900299072266
2023-12-28,95.05226135253906
2023-12-29,94.76176452636719
2024-01-02,92.28047943115234
2024-01-03,91.34014129638672
2024-01-04,90.67059326171875
2024-01-05,90.6459732055664
2024-01-08,92.92050170898438
2024-01-09,93.06819152832031
2024-01-10,93.8608169555664
2024-01-11,94.33838653564453
2024-01-12,94.64361572265625
2024-01-16,94.87992858886719
2024-01-17,94.4122314453125
2024-01-18,96.32734680175781
2024-01-19,98.54769897460938
2024-01-22,98.98095703125
2024-01-23,99.3797378540039
2024-01-24,100.06405639648438
2024-01-25,100.48252868652344
2024-01-26,99.32557678222656
2024-01-29,100.23638153076172
2024-01-30,99.40927124023438
2024-01-31,97.32183074951172
2024-02-01,98.54769897460938
2024-02-02,99.56681823730469
2024-02-05,99.79328918457031
2024-02-06,99.33543395996094
2024-02-07,100.64990997314453
2024-02-08,100.96499633789062
2024-02-09,102.32379913330078
2024-02-12,101.54593658447266
2024-02-13,99.82282257080078
2024-02-14,100.86654663085938
2024-02-15,100.65483856201172
2024-02-16,99.72928619384766
2024-02-20,98.71511840820312
2024-02-21,98.09478759765625
2024-02-22,101.3047103881836
2024-02-23,101.06838989257812
2024-02-26,101.16685485839844
2024-02-27,101.2554702758789
2024-02-28,100.77791595458984
2024-02-29,101.9004135131836
2024-03-01,103.7613754272461
2024-03-04,103.7613754272461
2024-03-05,101.21116638183594
2024-03-06,102.01365661621094
2024-03-07,103.62352752685547
2024-03-08,102.08258056640625
2024-03-11,101.80194091796875
2024-03-12,103.88939666748047
2024-03-13,102.76689147949219
2024-03-14,102.7865982055664
2024-03-15,101.23577880859375
2024-03-18,101.73336029052734
2024-03-19,102.26100158691406
2024-03-20,103.40505981445312
2024-03-21,103.47904205322266
2024-03-22,103.51355743408203
2024-03-25,102.82810974121094
2024-03-26,102.40402221679688
2024-03-27,102.9267349243164
2024-03-28,102.70482635498047
2024-04-01,102.9908447265625
2024-04-02,101.9996337890625
2024-04-03,102.27086639404297
2024-04-04,100.65338897705078
2024-04-05,101.80732727050781
2024-04-08,101.68898010253906
2024-04-09,102.20182800292969
2024-04-10,100.94927978515625
2024-04-11,102.9661865234375
2024-04-12,101.29938507080078
2024-04-15,99.37617492675781
2024-04-16,99.49452209472656
2024-04-17,98.05951690673828
2024-04-18,96.94010162353516
2024-04-19,94.94291687011719
2024-04-22,95.79110717773438
2024-04-23,97.21133422851562
2024-04-24,97.65514373779297
2024-04-25,97.4430923461914
2024-04-26,98.54278564453125
2024-04-29,98.96688079833984
