,XLP
2002-04-02,14.096452713012695
2002-04-03,14.107346534729004
2002-04-04,13.94387435913086
2002-04-05,13.829449653625488
2002-04-08,13.873039245605469
2002-04-09,13.862139701843262
2002-04-10,14.091008186340332
2002-04-11,13.90028190612793
2002-04-12,13.976568222045898
2002-04-15,13.965670585632324
2002-04-16,14.112793922424316
2002-04-17,13.90573501586914
2002-04-18,14.047411918640137
2002-04-19,14.074654579162598
2002-04-22,13.99292278289795
2002-04-23,13.878487586975098
2002-04-24,13.818551063537598
2002-04-25,13.862139701843262
2002-04-26,13.774958610534668
2002-04-29,13.633286476135254
2002-04-30,13.693219184875488
2002-05-01,13.889389038085938
2002-05-02,13.889389038085938
2002-05-03,13.7586088180542
2002-05-06,13.660533905029297
2002-05-07,13.469809532165527
2002-05-08,13.715027809143066
2002-05-09,13.573348999023438
2002-05-10,13.546101570129395
2002-05-13,13.682332038879395
2002-05-14,13.73681354522705
2002-05-15,13.5352144241333
2002-05-16,13.55155086517334
2002-05-17,13.70957088470459
2002-05-20,13.644186973571777
2002-05-21,13.529755592346191
2002-05-22,13.649633407592773
2002-05-23,13.693219184875488
2002-05-24,13.5352144241333
2002-05-28,13.486164093017578
2002-05-29,13.529755592346191
2002-05-30,13.469809532165527
2002-05-31,13.540656089782715
2002-06-03,13.230059623718262
2002-06-04,13.21371841430664
2002-06-05,13.366288185119629
2002-06-06,13.066594123840332
2002-06-07,13.066594123840332
2002-06-10,13.21371841430664
2002-06-11,12.859536170959473
2002-06-12,12.848639488220215
2002-06-13,12.810493469238281
2002-06-14,12.864981651306152
2002-06-17,13.110184669494629
2002-06-18,13.077492713928223
2002-06-19,13.028457641601562
2002-06-20,12.914027214050293
2002-06-21,12.56531810760498
2002-06-24,12.43961238861084
2002-06-25,12.182735443115234
2002-06-26,12.160870552062988
2002-06-27,12.253790855407715
2002-06-28,12.160870552062988
2002-07-01,12.281112670898438
2002-07-02,12.199134826660156
2002-07-03,12.117146492004395
2002-07-05,12.275641441345215
2002-07-08,12.253790855407715
2002-07-09,12.051556587219238
2002-07-10,11.805612564086914
2002-07-11,11.60884952545166
2002-07-12,11.362900733947754
2002-07-15,11.198929786682129
2002-07-16,11.024035453796387
2002-07-17,11.073224067687988
2002-07-18,10.82181167602539
2002-07-19,10.318974494934082
2002-07-22,10.406424522399902
2002-07-23,10.455615043640137
2002-07-24,10.991239547729492
2002-07-25,11.127877235412598
2002-07-26,11.1770658493042
2002-07-29,11.49953842163086
2002-07-30,11.384761810302734
2002-07-31,11.641643524169922
2002-08-01,11.532331466674805
2002-08-02,11.510468482971191
2002-08-05,11.351967811584473
2002-08-06,11.362900733947754
2002-08-07,11.625245094299316
2002-08-08,11.893061637878418
2002-08-09,11.947717666625977
2002-08-12,11.90945816040039
2002-08-13,11.794676780700684
2002-08-14,12.182735443115234
2002-08-15,12.073421478271484
2002-08-16,12.01876163482666
2002-08-19,12.111678123474121
2002-08-20,12.057025909423828
2002-08-21,12.040623664855957
2002-08-22,12.10075569152832
2002-08-23,11.90945816040039
2002-08-26,11.936781883239746
2002-08-27,11.903989791870117
2002-08-28,11.778275489807129
2002-08-29,11.647102355957031
2002-08-30,11.734559059143066
2002-09-03,11.477676391601562
2002-09-04,11.570589065551758
2002-09-05,11.565123558044434
2002-09-06,11.565123558044434
2002-09-09,11.794676780700684
2002-09-10,11.78921127319336
2002-09-11,11.767350196838379
2002-09-12,11.614315032958984
2002-09-13,11.679902076721191
2002-09-16,11.84933853149414
2002-09-17,11.548727035522461
2002-09-18,11.55418872833252
2002-09-19,11.220797538757324
2002-09-20,11.221896171569824
2002-09-23,11.177885055541992
2002-09-24,10.996357917785645
2002-09-25,11.084368705749512
2002-09-26,11.337417602539062
2002-09-27,11.001859664916992
2002-09-30,10.886333465576172
2002-10-01,11.210891723632812
2002-10-02,11.15038013458252
2002-10-03,11.122879028320312
2002-10-04,11.001859664916992
2002-10-07,10.979859352111816
2002-10-08,11.210891723632812
2002-10-09,11.067869186401367
2002-10-10,11.1173734664917
2002-10-11,11.243896484375
2002-10-14,11.430935859680176
2002-10-15,11.529948234558105
2002-10-16,11.287903785705566
2002-10-17,11.337417602539062
2002-10-18,11.46943187713623
2002-10-21,11.75548267364502
2002-10-22,11.551944732666016
2002-10-23,11.551944732666016
2002-10-24,11.381418228149414
2002-10-25,11.458431243896484
2002-10-28,11.205391883850098
2002-10-29,11.36491870880127
2002-10-30,11.414419174194336
2002-10-31,11.309907913208008
2002-11-01,11.452937126159668
2002-11-04,11.194393157958984
2002-11-05,11.30440902709961
2002-11-06,11.26039981842041
2002-11-07,11.232893943786621
2002-11-08,11.16138744354248
2002-11-11,11.128376960754395
2002-11-12,10.79831600189209
2002-11-13,10.95785140991211
2002-11-14,11.106378555297852
2002-11-15,11.18338680267334
2002-11-18,11.133880615234375
2002-11-19,11.199889183044434
2002-11-20,11.188889503479004
2002-11-21,11.051366806030273
2002-11-22,11.051366806030273
2002-11-25,10.979859352111816
2002-11-26,10.908343315124512
2002-11-27,11.062373161315918
2002-11-29,10.996357917785645
2002-12-02,10.908343315124512
2002-12-03,10.974348068237305
2002-12-04,11.139383316040039
2002-12-05,11.029363632202148
